Request url : http://127.0.0.1:8000/auth/login | Status -> 200 | duration : 1.7351ms | time: Sunday September 21, 2025 at 11:06:02 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0020ms | time: Monday September 22, 2025 at 11:38:31 PM
Request url : http://127.0.0.1:8000/favicon.ico | Status -> 404 | duration : 0.0008ms | time: Monday September 22, 2025 at 11:38:31 PM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0005ms | time: Monday September 22, 2025 at 11:38:34 PM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0130ms | time: Monday September 22, 2025 at 11:38:35 PM
Request url : http://127.0.0.1:8000/.well-known/appspecific/com.chrome.devtools.json | Status -> 404 | duration : 0.0006ms | time: Monday September 22, 2025 at 11:38:53 PM
Request url : http://127.0.0.1:8000/auth/login | Status -> 200 | duration : 4.1372ms | time: Monday September 22, 2025 at 11:39:50 PM
Request url : http://127.0.0.1:8000/user/me | Status -> 401 | duration : 0.0005ms | time: Monday September 22, 2025 at 11:40:13 PM
Request url : http://127.0.0.1:8000/auth/login | Status -> 200 | duration : 4.2757ms | time: Monday September 22, 2025 at 11:40:32 PM
Request url : http://127.0.0.1:8000/user/me | Status -> 401 | duration : 0.0003ms | time: Monday September 22, 2025 at 11:40:36 PM
Request url : http://127.0.0.1:8000/docs | Status -> 405 | duration : 0.0005ms | time: Monday September 22, 2025 at 11:40:50 PM
Request url : http://localhost:8000/auth/login | Status -> 405 | duration : 0.0005ms | time: Monday September 22, 2025 at 11:42:23 PM
Request url : http://localhost:8000/auth/login | Status -> 200 | duration : 0.9230ms | time: Monday September 22, 2025 at 11:42:29 PM
Request url : http://localhost:8000/user/me | Status -> 401 | duration : 0.0008ms | time: Monday September 22, 2025 at 11:42:45 PM
Request url : http://localhost:8000/user/me | Status -> 200 | duration : 0.7063ms | time: Monday September 22, 2025 at 11:43:05 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0017ms | time: Tuesday September 23, 2025 at 10:13:06 AM
Request url : http://127.0.0.1:8000/favicon.ico | Status -> 404 | duration : 0.0014ms | time: Tuesday September 23, 2025 at 10:13:06 AM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0004ms | time: Tuesday September 23, 2025 at 10:13:09 AM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0085ms | time: Tuesday September 23, 2025 at 10:13:09 AM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0033ms | time: Friday September 26, 2025 at 12:24:21 AM
Request url : http://127.0.0.1:8000/favicon.ico | Status -> 404 | duration : 0.0003ms | time: Friday September 26, 2025 at 12:24:21 AM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0005ms | time: Friday September 26, 2025 at 12:24:25 AM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0154ms | time: Friday September 26, 2025 at 12:24:26 AM
